Customer ID,TotalRevenue,NumberOfOrders,TotalItems,AverageOrderValue,PurchaseFrequency
12421.0,1098.6,6,652,183.1,6
12422.0,5231.8,17,2596,307.7529411764706,17
12423.0,2622.39,10,1793,262.239,10
12424.0,3340.03,4,2025,835.0075,4
12425.0,1741.41,2,1147,870.705,2
12426.0,1345.21,2,584,672.605,2
12427.0,825.8,3,533,275.26666666666665,3
12428.0,7956.46,9,3536,884.0511111111111,9
12429.0,6204.41,8,2890,775.55125,8
12430.0,256.4,1,117,256.4,1
12431.0,10432.22,27,4600,386.3785185185185,27
12432.0,5059.32,5,1801,1011.8639999999999,5
12433.0,16794.14,10,13534,1679.414,10
12434.0,1103.43,3,532,367.81,3
12435.0,13925.93,6,4958,2320.9883333333332,6
12436.0,509.01,1,211,509.01,1
12437.0,12683.4,39,8000,325.2153846153846,39
12438.0,2906.85,2,1180,1453.425,2
12439.0,1142.88,2,478,571.44,2
12440.0,859.2,2,331,429.6,2
12441.0,173.55,1,121,173.55,1
12442.0,172.06,1,182,172.06,1
12443.0,485.31,1,182,485.31,1
12444.0,5005.46,5,1153,1001.092,5
12445.0,434.98,2,206,217.49,2
12446.0,1002.3100000000001,1,351,1002.3100000000001,1
12447.0,476.49,1,190,476.49,1
12448.0,449.45,1,243,449.45,1
12449.0,4835.89,6,2282,805.9816666666667,6
12450.0,688.2,5,442,137.64000000000001,5
12451.0,12669.88,8,9359,1583.735,8
12452.0,430.57,2,185,215.285,2
12453.0,707.09,1,473,707.09,1
12454.0,16679.78,5,7703,3335.9559999999997,5
12455.0,5879.95,10,3302,587.995,10
12456.0,3181.04,3,1633,1060.3466666666666,3
12457.0,2995.91,8,1094,374.48875,8
12458.0,1777.49,4,986,444.3725,4
12459.0,454.36,1,258,454.36,1
12460.0,326.65,1,170,326.65,1
12461.0,826.88,2,287,413.44,2
12462.0,1189.59,2,536,594.795,2
12463.0,1344.78,4,776,336.195,4
12464.0,1212.05,8,112,151.50625,8
12465.0,742.1899999999999,2,479,371.09499999999997,2
12466.0,56.73,1,1,56.73,1
12467.0,132.8,1,129,132.8,1
12468.0,3670.74,5,2201,734.1479999999999,5
12469.0,3070.54,2,2552,1535.27,2
12470.0,211.95,1,95,211.95,1
12471.0,39918.19,79,16858,505.2935443037975,79
12472.0,16249.289999999999,19,10378,855.2257894736841,19
12473.0,3928.0499999999997,5,2414,785.6099999999999,5
12474.0,12372.75,31,7940,399.1209677419355,31
12475.0,1149.64,2,771,574.82,2
12476.0,14083.91,23,5631,612.3439130434782,23
12477.0,20276.37,9,6119,2252.93,9
12478.0,680.99,1,236,680.99,1
12479.0,527.2,1,385,527.2,1
12480.0,5464.85,7,2952,780.6928571428572,7
12481.0,12185.51,15,7158,812.3673333333334,15
12482.0,23691.4,29,27042,816.944827586207,29
12483.0,5097.18,19,2160,268.27263157894737,19
12484.0,6354.1,12,3266,529.5083333333333,12
12485.0,708.1,1,414,708.1,1
12486.0,1037.28,1,523,1037.28,1
12487.0,285.29999999999995,1,174,285.29999999999995,1
12488.0,1298.66,3,529,432.8866666666667,3
12489.0,334.93,1,105,334.93,1
12490.0,9823.64,21,5906,467.79238095238094,21
12491.0,460.40000000000003,1,260,460.40000000000003,1
12492.0,715.21,3,444,238.40333333333334,3
12493.0,433.74,2,207,216.87,2
12494.0,1815.27,9,979,201.69666666666666,9
12495.0,357.4,1,130,357.4,1
12496.0,45.34,2,30,22.67,2
12497.0,6248.5,3,5685,2082.8333333333335,3
12498.0,403.70000000000005,3,159,134.5666666666667,3
12499.0,393.72,1,302,393.72,1
12500.0,5955.21,19,3377,313.4321052631579,19
12501.0,2169.39,1,1783,2169.39,1
12502.0,3723.87,5,820,744.774,5
12503.0,1126.0,1,561,1126.0,1
12504.0,779.05,4,458,194.7625,4
12505.0,955.2,1,324,955.2,1
12506.0,73.5,1,23,73.5,1
12507.0,1844.06,4,1256,461.015,4
12508.0,397.88,2,271,198.94,2
12509.0,176.5,1,55,176.5,1
12510.0,5178.02,9,2049,575.3355555555556,9
12511.0,3084.02,1,1753,3084.02,1
12512.0,132.18,2,96,66.09,2
12513.0,612.29,1,462,612.29,1
12514.0,1597.76,2,840,798.88,2
12515.0,383.7,1,131,383.7,1
12516.0,2648.62,4,1952,662.155,4
12517.0,2481.6,5,1361,496.32,5
12518.0,2056.89,5,1318,411.378,5
12519.0,716.54,2,387,358.27,2
12520.0,2634.26,5,1439,526.8520000000001,5
12521.0,599.68,1,309,599.68,1
12522.0,192.72,2,194,96.36,2
12523.0,4352.35,23,2263,189.2326086956522,23
12524.0,11126.11,17,7178,654.4770588235294,17
12525.0,973.73,3,509,324.57666666666665,3
12526.0,1316.66,3,632,438.8866666666667,3
12527.0,735.51,5,526,147.102,5
12528.0,1933.48,6,756,322.24666666666667,6
12529.0,316.48,1,192,316.48,1
12530.0,3759.26,9,2713,417.6955555555556,9
12531.0,1933.2,2,1119,966.6,2
12532.0,349.83000000000004,1,153,349.83000000000004,1
12533.0,1367.89,2,704,683.945,2
12534.0,1089.18,1,651,1089.18,1
12535.0,716.35,2,219,358.175,2
12536.0,12601.830000000002,3,2803,4200.610000000001,3
12537.0,732.94,1,449,732.94,1
12538.0,640.45,2,336,320.225,2
12539.0,11214.75,7,4535,1602.107142857143,7
12540.0,22254.49,33,11019,674.3784848484848,33
12541.0,981.18,3,680,327.06,3
12542.0,481.88,2,522,240.94,2
12543.0,980.25,1,688,980.25,1
12544.0,372.7,1,136,372.7,1
12545.0,1000.39,2,523,500.195,2
12546.0,1161.5,2,633,580.75,2
12547.0,383.58,3,309,127.86,3
12548.0,95.19999999999999,1,49,95.19999999999999,1
12549.0,1575.68,6,1366,262.61333333333334,6
12550.0,964.83,1,569,964.83,1
12551.0,168.0,1,100,168.0,1
12552.0,437.82,2,88,218.91,2
12553.0,4608.75,12,2325,384.0625,12
12554.0,468.5,1,240,468.5,1
12555.0,129.23,1,1,129.23,1
12556.0,599.56,2,355,299.78,2
12557.0,18096.14,8,6382,2262.0175,8
12558.0,269.96,1,196,269.96,1
12559.0,561.71,2,283,280.855,2
12560.0,2134.01,3,1110,711.3366666666667,3
12561.0,238.85,1,177,238.85,1
12562.0,4966.92,9,2327,551.88,9
12563.0,249.24,1,113,249.24,1
12564.0,456.9,1,133,456.9,1
12565.0,145.92,1,80,145.92,1
12566.0,351.65,1,265,351.65,1
12567.0,11767.48,15,5308,784.4986666666666,15
12568.0,70.0,1,48,70.0,1
12569.0,4124.69,32,1801,128.8965625,32
12570.0,77.52,1,1,77.52,1
12571.0,519.61,2,523,259.805,2
12572.0,1020.42,2,452,510.21,2
12573.0,717.41,5,479,143.482,5
12574.0,218.45,1,61,218.45,1
12575.0,622.8199999999999,2,315,311.40999999999997,2
12576.0,2142.72,8,1494,267.84,8
12577.0,1617.1,8,1191,202.1375,8
12578.0,4642.45,4,2380,1160.6125,4
12579.0,440.42,1,285,440.42,1
12580.0,1052.9,2,569,526.45,2
12581.0,197.71,1,161,197.71,1
12582.0,1980.4,4,985,495.1,4
12583.0,13591.58,27,8535,503.39185185185187,27
12584.0,2338.15,9,416,259.7944444444445,9
12585.0,2040.1,2,1279,1020.05,2
12586.0,2062.67,4,687,515.6675,4
12587.0,144.0,1,51,144.0,1
12588.0,958.78,4,438,239.695,4
12589.0,4695.66,8,1764,586.9575,8
12590.0,9864.26,2,4283,4932.13,2
12591.0,1338.95,3,653,446.31666666666666,3
12592.0,2582.66,5,1875,516.5319999999999,5
12593.0,418.09999999999997,3,206,139.36666666666665,3
12594.0,5090.110000000001,15,2768,339.3406666666667,15
12595.0,299.02,1,271,299.02,1
12596.0,618.27,2,474,309.135,2
12597.0,3811.22,4,2236,952.805,4
12598.0,4534.09,11,2906,412.19,11
12599.0,2296.72,13,2189,176.67076923076922,13
12600.0,4967.42,21,1383,236.54380952380953,21
12601.0,681.26,6,290,113.54333333333334,6
12602.0,153.12,1,162,153.12,1
12603.0,739.1999999999999,1,63,739.1999999999999,1
12604.0,254.18,2,201,127.09,2
12605.0,1232.95,4,929,308.2375,4
12606.0,21.0,1,1,21.0,1
12607.0,1579.51,1,1228,1579.51,1
12608.0,415.79,1,323,415.79,1
12609.0,3435.86,9,1553,381.76222222222225,9
12610.0,2099.54,5,1049,419.908,5
12611.0,1193.32,1,846,1193.32,1
12612.0,704.0400000000001,1,262,704.0400000000001,1
12613.0,6817.37,10,4157,681.737,10
12614.0,315.6,1,76,315.6,1
12615.0,5740.98,8,3317,717.6225,8
12616.0,1131.1,3,498,377.0333333333333,3
12617.0,352.98,1,210,352.98,1
12618.0,177.31,1,96,177.31,1
12619.0,3781.38,10,3518,378.13800000000003,10
12620.0,1339.41,3,1181,446.47,3
12621.0,24311.2,35,13706,694.6057142857143,35
12622.0,180.1,1,69,180.1,1
12623.0,3747.84,7,1971,535.4057142857143,7
12624.0,641.13,2,355,320.565,2
12625.0,5164.88,4,3309,1291.22,4
12626.0,6620.48,9,3453,735.6088888888888,9
12627.0,4478.53,7,2752,639.79,7
12628.0,786.46,3,448,262.15333333333336,3
12629.0,1558.22,2,722,779.11,2
12630.0,1270.88,2,548,635.44,2
12631.0,3481.57,6,1607,580.2616666666667,6
12632.0,804.88,2,694,402.44,2
12633.0,5678.16,7,3238,811.1657142857142,7
12634.0,490.0,2,337,245.0,2
12635.0,2930.41,4,1949,732.6025,4
12636.0,141.0,1,1,141.0,1
12637.0,8283.81,12,4257,690.3175,12
12638.0,921.49,2,663,460.745,2
12639.0,1312.37,3,631,437.45666666666665,3
12640.0,1174.58,3,311,391.52666666666664,3
12641.0,185.9,1,72,185.9,1
12642.0,1013.26,3,552,337.75333333333333,3
12643.0,8304.82,12,4665,692.0683333333333,12
12644.0,1918.49,4,1032,479.6225,4
12645.0,3539.3,8,2125,442.4125,8
12646.0,1346.97,2,897,673.485,2
12647.0,16955.55,36,6633,470.98749999999995,36
12648.0,1112.0,4,518,278.0,4
12649.0,2294.65,8,1959,286.83125,8
12650.0,314.44,1,254,314.44,1
12651.0,377.75,4,265,94.4375,4
12652.0,1017.03,2,536,508.515,2
12653.0,4160.83,3,1681,1386.9433333333334,3
12654.0,601.98,5,264,120.396,5
12655.0,261.35,1,80,261.35,1
12656.0,6407.83,8,2860,800.97875,8
12657.0,1643.18,4,1044,410.795,4
12658.0,686.05,1,320,686.05,1
12659.0,91.68,1,105,91.68,1
12660.0,245.1,1,127,245.1,1
12661.0,162.0,1,216,162.0,1
12662.0,6726.54,20,3424,336.327,20
12663.0,239.4,2,181,119.7,2
12664.0,6070.04,11,1495,551.8218181818182,11
12665.0,313.6,3,165,104.53333333333335,3
12666.0,1248.42,1,370,1248.42,1
12667.0,620.13,1,395,620.13,1
12668.0,11383.03,10,5049,1138.303,10
12669.0,2744.0299999999997,3,1115,914.6766666666666,3
12670.0,3760.29,7,1627,537.1842857142857,7
12671.0,2622.481,1,1460,2622.481,1
12672.0,437.05,2,138,218.525,2
12673.0,1230.02,3,700,410.00666666666666,3
12674.0,1970.6,4,1133,492.65,4
12675.0,957.25,2,336,478.625,2
12676.0,2843.09,11,1867,258.4627272727273,11
12677.0,395.1,2,176,197.55,2
12678.0,34281.18,21,22372,1632.4371428571428,21
12679.0,1113.02,4,554,278.255,4
12680.0,880.81,4,444,220.2025,4
12681.0,29834.76,45,17011,662.9946666666666,45
12682.0,22950.22,52,10522,441.35038461538466,52
12683.0,11633.7,21,7019,553.9857142857143,21
12684.0,2283.63,7,1985,326.23285714285714,7
12685.0,2863.08,6,1523,477.18,6
12686.0,89.14,1,107,89.14,1
12687.0,2138.91,2,1403,1069.455,2
12688.0,4873.8099999999995,1,3028,4873.8099999999995,1
12689.0,1247.61,2,628,623.805,2
12690.0,389.01,1,106,389.01,1
12691.0,1170.4,7,445,167.20000000000002,7
12692.0,110.95,1,36,110.95,1
12693.0,1703.02,7,536,243.28857142857143,7
12694.0,1843.35,3,1355,614.4499999999999,3
12695.0,1407.1200000000001,7,454,201.0171428571429,7
12696.0,851.91,2,564,425.955,2
12697.0,957.59,3,508,319.19666666666666,3
12698.0,339.75,1,111,339.75,1
12699.0,638.11,1,373,638.11,1
12700.0,4939.99,4,2967,1234.9975,4
12701.0,2446.41,6,1727,407.73499999999996,6
12702.0,219.0,1,53,219.0,1
12703.0,1006.53,4,595,251.6325,4
12704.0,2340.84,8,1006,292.605,8
12705.0,11762.1,14,7188,840.15,14
12707.0,603.42,1,256,603.42,1
12708.0,5117.66,18,2432,284.31444444444446,18
12709.0,30291.76,34,13772,890.9341176470588,34
12710.0,1149.02,3,851,383.00666666666666,3
12711.0,1339.05,2,770,669.525,2
12712.0,6723.03,21,2205,320.14428571428573,21
12713.0,848.55,1,508,848.55,1
12714.0,14093.71,12,8774,1174.4758333333332,12
12715.0,343.36,1,192,343.36,1
12716.0,1053.49,2,708,526.745,2
12717.0,1308.91,3,600,436.30333333333334,3
12718.0,238.25,1,203,238.25,1
12719.0,644.95,2,374,322.475,2
12720.0,7787.28,30,6018,259.57599999999996,30
12721.0,4013.08,8,2655,501.635,8
12722.0,997.63,4,566,249.4075,4
12723.0,725.07,5,434,145.014,5
12724.0,2317.52,7,1379,331.07428571428574,7
12725.0,2266.76,4,1142,566.69,4
12726.0,4014.6,11,4618,364.96363636363634,11
12727.0,5679.53,10,2832,567.953,10
12728.0,1070.17,5,543,214.03400000000002,5
12729.0,453.01,1,233,453.01,1
12730.0,829.25,1,234,829.25,1
12731.0,25775.71,17,11641,1516.2182352941177,17
12732.0,236.26000000000002,1,111,236.26000000000002,1
12733.0,2424.87,4,896,606.2175,4
12734.0,639.65,3,265,213.21666666666667,3
12735.0,779.5699999999999,2,368,389.78499999999997,2
12736.0,234.0,1,173,234.0,1
12737.0,3710.5,2,2,1855.25,2
12738.0,155.35,1,148,155.35,1
12739.0,2726.73,4,951,681.6825,4
12740.0,427.6,1,342,427.6,1
12741.0,406.07,2,214,203.035,2
12742.0,1201.52,1,1359,1201.52,1
12743.0,540.13,2,315,270.065,2
12744.0,25317.06,11,6994,2301.550909090909,11
12745.0,925.41,3,468,308.46999999999997,3
12746.0,254.55,1,97,254.55,1
12747.0,8898.48,26,2640,342.24923076923073,26
12748.0,53539.64,336,37109,159.34416666666667,336
12749.0,6897.36,9,2360,766.3733333333333,9
12750.0,275.88,1,137,275.88,1
12751.0,268.27,1,189,268.27,1
12752.0,4366.78,1,2262,4366.78,1
12753.0,21429.39,6,11421,3571.565,6
12754.0,3010.74,3,6481,1003.5799999999999,3
12755.0,5236.259999999999,11,2293,476.0236363636363,11
12756.0,112.07999999999998,1,144,112.07999999999998,1
12757.0,7834.650000000001,13,2395,602.6653846153847,13
12758.0,9903.24,7,6155,1414.7485714285715,7
12759.0,5020.74,8,3202,627.5925,8
12760.0,347.8,1,198,347.8,1
12761.0,782.95,2,281,391.475,2
12762.0,1898.52,2,1227,949.26,2
12763.0,494.08,2,316,247.04,2
12764.0,1693.88,1,386,1693.88,1
12765.0,1404.58,6,1009,234.09666666666666,6
12766.0,8918.99,9,5022,990.9988888888888,9
12767.0,949.82,1,598,949.82,1
12768.0,168.69000000000003,1,102,168.69000000000003,1
12769.0,1143.6,1,356,1143.6,1
12770.0,3246.45,2,1843,1623.225,2
12771.0,282.3,1,104,282.3,1
12772.0,892.47,1,556,892.47,1
12773.0,124.25,1,109,124.25,1
12774.0,98.7,1,53,98.7,1
12775.0,1686.12,7,1083,240.8742857142857,7
12776.0,55.5,1,46,55.5,1
12777.0,519.45,1,458,519.45,1
12778.0,1775.68,9,1735,197.29777777777778,9
12779.0,6474.11,14,3501,462.43642857142856,14
12780.0,337.4,1,285,337.4,1
12781.0,826.74,2,671,413.37,2
12782.0,4618.24,11,2017,419.84,11
12783.0,2225.91,6,624,370.98499999999996,6
12784.0,1763.15,3,862,587.7166666666667,3
12785.0,1100.4,3,453,366.8,3
12786.0,728.5,1,324,728.5,1
12787.0,862.18,4,510,215.545,4
12788.0,444.9,4,194,111.225,4
12789.0,273.35,3,36,91.11666666666667,3
12790.0,591.85,2,306,295.925,2
12791.0,863.51,6,353,143.91833333333332,6
12792.0,827.01,2,394,413.505,2
12793.0,885.53,3,461,295.1766666666667,3
12794.0,860.41,2,592,430.205,2
12795.0,430.48,1,68,430.48,1
12796.0,381.0,1,182,381.0,1
12797.0,552.08,2,215,276.04,2
12798.0,8510.93,4,8455,2127.7325,4
12799.0,219.35,1,137,219.35,1
12800.0,584.25,3,284,194.75,3
12801.0,1071.82,1,505,1071.82,1
12802.0,2416.42,7,1972,345.20285714285717,7
12803.0,1092.81,1,872,1092.81,1
12804.0,325.37,2,270,162.685,2
12805.0,1434.95,4,593,358.7375,4
12806.0,2878.96,4,2087,719.74,4
12807.0,330.35,1,145,330.35,1
12808.0,776.7,5,322,155.34,5
12809.0,1755.94,3,518,585.3133333333334,3
12810.0,534.99,2,389,267.495,2
12811.0,1033.9,5,435,206.78000000000003,5
12812.0,229.64000000000001,1,164,229.64000000000001,1
12813.0,1687.8,3,1141,562.6,3
12814.0,125.92,1,49,125.92,1
12815.0,1063.46,2,379,531.73,2
12816.0,572.2,2,128,286.1,2
12817.0,690.98,3,219,230.32666666666668,3
12818.0,1542.08,1,929,1542.08,1
12819.0,540.52,1,344,540.52,1
12820.0,2689.52,11,1964,244.50181818181818,11
12821.0,220.8,2,162,110.4,2
12822.0,948.88,2,550,474.44,2
12823.0,6501.5,18,930,361.19444444444446,18
12824.0,397.12,1,232,397.12,1
12825.0,518.63,2,139,259.315,2
12826.0,2800.75,12,1915,233.39583333333334,12
12827.0,430.15000000000003,3,197,143.38333333333335,3
12828.0,1018.71,6,494,169.785,6
12829.0,385.3,3,550,128.43333333333334,3
12830.0,6814.64,6,9848,1135.7733333333333,6
12831.0,451.11,3,303,150.37,3
12832.0,383.03,2,195,191.515,2
12833.0,417.38,1,156,417.38,1
12834.0,312.38,1,110,312.38,1
12835.0,5996.83,41,2349,146.2641463414634,41
12836.0,6559.7300000000005,15,2231,437.31533333333334,15
12837.0,662.66,2,194,331.33,2
12838.0,2975.91,10,1606,297.591,10
12839.0,9669.12,26,6578,371.8892307692308,26
12840.0,4041.97,7,2258,577.4242857142857,7
12841.0,6958.2,40,5008,173.95499999999998,40
12842.0,1917.99,4,887,479.4975,4
12843.0,6583.36,30,3028,219.4453333333333,30
12844.0,648.6,4,223,162.15,4
12845.0,354.09,4,204,88.5225,4
12846.0,15.58,1,1,15.58,1
12847.0,1609.0,2,1497,804.5,2
12848.0,208.0,1,58,208.0,1
12849.0,3042.47,6,1855,507.0783333333333,6
12850.0,330.0,1,200,330.0,1
12851.0,280.76,2,157,140.38,2
12852.0,311.55,1,149,311.55,1
12853.0,3907.5,11,1668,355.22727272727275,11
12854.0,2970.9700000000003,7,1630,424.42428571428576,7
12855.0,612.84,4,240,153.21,4
12856.0,2170.78,6,1076,361.7966666666667,6
12857.0,3688.0,6,1420,614.6666666666666,6
12858.0,147.27,1,51,147.27,1
12859.0,575.1,1,292,575.1,1
12860.0,54.22,1,26,54.22,1
12861.0,68.25,1,27,68.25,1
12862.0,984.62,2,611,492.31,2
12863.0,2792.5499999999997,6,895,465.42499999999995,6
12864.0,299.57,2,447,149.785,2
12865.0,3323.47,4,1973,830.8675,4
12866.0,1227.35,3,553,409.1166666666666,3
12867.0,7829.26,13,7876,602.2507692307693,13
12868.0,2043.76,8,1170,255.47,8
12869.0,337.66999999999996,1,144,337.66999999999996,1
12870.0,1676.95,3,906,558.9833333333333,3
12871.0,744.02,3,484,248.00666666666666,3
12872.0,3283.96,12,1642,273.66333333333336,12
12873.0,2027.3,3,786,675.7666666666667,3
12874.0,948.42,2,623,474.21,2
12875.0,1356.99,5,5187,271.398,5
12876.0,4081.79,4,3047,1020.4475,4
12877.0,2942.14,20,2237,147.107,20
12878.0,854.99,2,547,427.495,2
12879.0,573.22,3,370,191.07333333333335,3
12880.0,640.13,2,279,320.065,2
12881.0,298.0,1,21,298.0,1
12882.0,1463.04,2,246,731.52,2
12883.0,703.47,4,196,175.8675,4
12884.0,309.05,1,43,309.05,1
12885.0,1175.22,3,655,391.74,3
12886.0,1378.4,2,770,689.2,2
12887.0,222.4,1,100,222.4,1
12888.0,354.12,2,76,177.06,2
12889.0,385.46000000000004,4,124,96.36500000000001,4
12890.0,706.02,2,457,353.01,2
12891.0,840.5,11,2325,76.4090909090909,11
12892.0,263.38,1,140,263.38,1
12893.0,176.55,1,90,176.55,1
12894.0,157.35,1,33,157.35,1
12895.0,372.8,2,210,186.4,2
12897.0,514.25,4,249,128.5625,4
12898.0,296.21000000000004,2,235,148.10500000000002,2
12899.0,366.4,1,108,366.4,1
12900.0,340.33,1,139,340.33,1
12901.0,17654.54,28,23075,630.5192857142857,28
12902.0,138.68,1,66,138.68,1
12903.0,833.53,1,493,833.53,1
12904.0,496.06,2,294,248.03,2
12905.0,1018.42,2,532,509.21,2
12906.0,2919.81,5,1749,583.962,5
12907.0,508.91,2,177,254.455,2
12908.0,1776.0,5,3000,355.2,5
12909.0,3103.19,8,1948,387.89875,8
12910.0,5796.52,13,3632,445.8861538461539,13
12911.0,1651.72,1,807,1651.72,1
12912.0,1662.3,5,670,332.46,5
12913.0,6283.24,13,3086,483.32615384615383,13
12914.0,223.98,1,336,223.98,1
12915.0,975.1,4,411,243.775,4
12916.0,4479.73,7,1681,639.9614285714285,7
12917.0,4359.2,6,1104,726.5333333333333,6
12918.0,10953.5,1,1,10953.5,1
12919.0,1335.19,6,673,222.53166666666667,6
12920.0,486.64,4,420,121.66,4
12921.0,35233.24,74,21328,476.12486486486483,74
12922.0,405.38,1,370,405.38,1
12923.0,770.42,3,230,256.8066666666667,3
12924.0,2469.4,12,1423,205.78333333333333,12
12925.0,729.3299999999999,3,649,243.10999999999999,3
12926.0,1523.97,4,754,380.9925,4
12927.0,197.31,1,145,197.31,1
12928.0,4304.89,12,2899,358.74083333333334,12
12929.0,117.85,1,37,117.85,1
12930.0,415.8,2,252,207.9,2
12931.0,92347.34,57,62906,1620.1287719298246,57
12932.0,1698.56,8,1609,212.32,8
12933.0,1636.6299999999999,8,949,204.57874999999999,8
12934.0,181.65,1,31,181.65,1
12935.0,4243.86,15,3201,282.924,15
12936.0,1063.9,4,559,265.975,4
12937.0,3097.61,9,1983,344.1788888888889,9
12938.0,114.14,1,140,114.14,1
12939.0,25264.8,20,10328,1263.24,20
12940.0,899.69,2,404,449.845,2
12941.0,377.49,1,381,377.49,1
12942.0,675.6,3,198,225.20000000000002,3
12943.0,496.5,2,222,248.25,2
12944.0,604.51,2,289,302.255,2
12945.0,900.11,2,446,450.055,2
12946.0,324.45,1,149,324.45,1
12947.0,1603.99,6,1165,267.33166666666665,6
12948.0,2317.43,9,1304,257.4922222222222,9
12949.0,15526.7,22,8233,705.7590909090909,22
12950.0,1843.0,3,1380,614.3333333333334,3
12951.0,3213.7200000000003,15,1662,214.24800000000002,15
12952.0,1387.79,4,653,346.9475,4
12953.0,828.8100000000001,2,364,414.40500000000003,2
12954.0,162.45,1,83,162.45,1
12955.0,4757.16,11,3664,432.4690909090909,11
12956.0,521.89,4,340,130.4725,4
12957.0,8706.97,13,4686,669.766923076923,13
12958.0,467.34,2,118,233.67,2
12959.0,150.95,1,109,150.95,1
12960.0,1322.07,4,1379,330.5175,4
12961.0,211.99,1,180,211.99,1
12962.0,266.39,2,129,133.195,2
12963.0,3235.79,12,1637,269.64916666666664,12
12964.0,132.24,1,56,132.24,1
12965.0,769.8100000000001,1,282,769.8100000000001,1
12966.0,160.18,1,75,160.18,1
12967.0,2938.52,3,912,979.5066666666667,3
12968.0,135.95,1,73,135.95,1
12969.0,122.45,1,55,122.45,1
12970.0,1453.6,10,954,145.35999999999999,10
12971.0,15704.6,116,14306,135.3844827586207,116
12972.0,1161.2,4,844,290.3,4
12973.0,385.55,1,31,385.55,1
12974.0,408.95,2,104,204.475,2
12975.0,2100.09,6,911,350.01500000000004,6
12976.0,3156.38,8,2684,394.5475,8
12977.0,513.88,4,128,128.47,4
12978.0,2502.82,5,1394,500.564,5
12979.0,517.7,1,520,517.7,1
12980.0,16245.78,21,1910,773.6085714285715,21
12981.0,372.21999999999997,2,242,186.10999999999999,2
12982.0,2744.81,8,1729,343.10125,8
12983.0,490.08000000000004,1,638,490.08000000000004,1
12984.0,97.5,1,26,97.5,1
12985.0,1239.38,2,1533,619.69,2
12986.0,2729.84,10,1164,272.98400000000004,10
12987.0,1312.21,5,585,262.442,5
